feature,importance
customer_city_brauna,0.0
customer_city_brodowski,0.0
customer_city_brotas,0.0
customer_city_brumadinho,0.0
customer_city_brusque,0.0
customer_city_cabo frio,0.0
customer_city_cabralia paulista,0.0
customer_city_cabrobo,0.0
customer_city_cacador,0.0
customer_city_cacapava,0.0
customer_city_cachoeira alta,0.0
customer_city_braganca,0.0
customer_city_cedro de sao joao,0.0
customer_city_cerquilho,0.0
customer_city_cerro largo,0.0
customer_city_cesario lange,0.0
customer_city_chapadao do ceu,0.0
customer_city_chapadao do sul,0.0
customer_city_chapeco,0.0
customer_city_charqueadas,0.0
customer_city_chavantes,0.0
